experiment_parameter,experiment_value,run,population_size,generations,mutation_rate,tournament_size,elite_size,crossover_type,best_generation,total_cost,skill_mismatch_cost,overtime_cost,imbalance_cost,proficiency_cost,priority_cost,execution_time
crossover_type,uniform,12,200,500,5,7,4,uniform,481,105.06,0,0,26.5,30.2,48.36,7.601
crossover_type,uniform,13,200,500,5,7,4,uniform,467,102.16,0,0,23.6,28.4,50.16,7.553
crossover_type,uniform,14,200,500,5,7,4,uniform,484,100.62,0,0,27.4,29.6,43.62,7.577
crossover_type,uniform,15,200,500,5,7,4,uniform,451,102.08,0,5,24.6,28.2,44.28,7.723
crossover_type,uniform,16,200,500,5,7,4,uniform,330,111.68,0,5,26.3,26.2,54.18,7.635
crossover_type,uniform,17,200,500,5,7,4,uniform,486,100.14,0,5,23.6,27.5,44.04,7.571
crossover_type,uniform,18,200,500,5,7,4,uniform,378,104.62,0,0,25.5,27.1,52.02,7.583
crossover_type,uniform,19,200,500,5,7,4,uniform,497,102.58,0,0,21.6,27.7,53.28,7.7
crossover_type,uniform,20,200,500,5,7,4,uniform,299,98.22,0,5,22.6,28.2,42.42,7.665
crossover_type,uniform,21,200,500,5,7,4,uniform,488,114.62,0,10,25.4,29.0,50.22,7.557
crossover_type,uniform,22,200,500,5,7,4,uniform,442,109.2,0,5,26.4,27.1,50.7,7.586
crossover_type,uniform,23,200,500,5,7,4,uniform,429,96.66,0,0,21.6,29.1,45.96,7.69
crossover_type,uniform,24,200,500,5,7,4,uniform,490,93.0,0,0,22.6,27.5,42.9,7.582
crossover_type,uniform,25,200,500,5,7,4,uniform,497,103.04,0,5,22.5,27.3,48.24,7.562
crossover_type,uniform,26,200,500,5,7,4,uniform,491,102.6,0,0,24.3,27.0,51.3,7.601
crossover_type,uniform,27,200,500,5,7,4,uniform,487,94.66,0,0,19.5,27.7,47.46,7.679
crossover_type,uniform,28,200,500,5,7,4,uniform,431,102.36,0,0,26.7,27.3,48.36,7.549
crossover_type,uniform,29,200,500,5,7,4,uniform,494,123.0,0,10,26.5,29.8,56.7,7.541
crossover_type,uniform,30,200,500,5,7,4,uniform,468,121.24,0,10,27.4,27.5,56.34,7.629
